//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1254.2857142857142	1024.0	1095.4117647058824	1137.9614291731132
01to03	759.047619047619	247.0	635.8823529411765	909.3143282820565
01to04	379.2857142857143	294.0	323.6470588235294	357.9820027399622
01to05	692.4285714285714	298.0	411.5882352941176	1160.227674701331
01to06	0.2857142857142857	0.0	0.0	1.3093073414159542
01to07	2273.285714285714	1539.0	2082.235294117647	1961.3387556171203
01to08	1.2857142857142858	0.0	0.0	4.302822993603817
01to09	0.0	0.0	0.0	0.0
01to10	24.333333333333332	0.0	1.8235294117647058	89.6316536349371
01to11	0.0	0.0	0.0	0.0
01to12	384.76190476190476	210.0	304.6470588235294	444.2268457400908
01to13	42.42857142857143	0.0	0.23529411764705882	134.79783804964063
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	1.0	0.0	0.0	4.58257569495584
01to17	0.09523809523809523	0.0	0.0	0.30079260375911915
01to18	1.0476190476190477	0.0	0.0	3.36862272265967
01to19	0.0	0.0	0.0	0.0
01to20	0.14285714285714285	0.0	0.0	0.6546536707079771
01to21	0.6666666666666666	0.0	0.0	3.0550504633038935
01to22	8.095238095238095	0.0	0.9411764705882353	24.59655415277669
01to23	13.619047619047619	0.0	1.411764705882353	44.40999458508883
01to24	0.8571428571428571	0.0	0.11764705882352941	2.4142434484888695
01to25	98.04761904761905	0.0	1.6470588235294117	418.4011802314229
01to26	0.0	0.0	0.0	0.0
01to27	9.761904761904763	0.0	0.11764705882352941	34.87965705379679
01to28	191.42857142857142	22.0	66.05882352941177	432.89566542396466
01to29	36.333333333333336	0.0	1.2941176470588236	112.45858496946035
01to30	31.19047619047619	0.0	5.176470588235294	109.1346045246965
01to31	0.14285714285714285	0.0	0.0	0.47809144373375745
01to32	623.8571428571429	116.0	428.1764705882353	989.5744179047014
01to33	0.0	0.0	0.0	0.0
01to34	2181.809523809524	1673.0	2020.0588235294117	1663.3491100501908
01to35	1.4285714285714286	0.0	0.29411764705882354	3.749285646245543
01to36	374.3809523809524	28.0	182.7058823529412	771.7472692656888
01to37	373.23809523809524	45.0	212.88235294117646	657.2964251205011
01to38	4.904761904761905	0.0	0.11764705882352941	21.342222850267408
01to39	184.28571428571428	87.0	123.3529411764706	258.51946597058077
01to40	3.0	0.0	0.0	13.74772708486752
01to41	1.1428571428571428	0.0	0.058823529411764705	4.78837878916982
01to42	752.5714285714286	199.0	527.9411764705883	1137.0501559486536
01to43	0.14285714285714285	0.0	0.0	0.6546536707079771
01to44	335.7142857142857	4.0	92.52941176470588	916.3817513927884
01to45	61.04761904761905	5.0	42.23529411764706	100.58353552668358
01to46	1.5714285714285714	0.0	0.0	7.201190377787748
01to47	0.0	0.0	0.0	0.0
01to48	758.4761904761905	292.0	527.2352941176471	1156.3997846353836
01to49	19.285714285714285	0.0	2.4705882352941178	56.007269936270646
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	71.42857142857143	31.0	56.8235294117647	90.5563754953628
01to54	2.1904761904761907	0.0	0.0	9.37346812881469
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	2.619047619047619	0.0	0.0	11.774872358018113
01to60	0.0	0.0	0.0	0.0
01to61	0.0	0.0	0.0	0.0
01to62	0.0	0.0	0.0	0.0
01to63	0.0	0.0	0.0	0.0
01to64	0.047619047619047616	0.0	0.0	0.21821789023599236
01to65	0.0	0.0	0.0	0.0
01to66	0.0	0.0	0.0	0.0
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	0.0	0.0	0.0	0.0
01to70	0.047619047619047616	0.0	0.0	0.21821789023599236
01to71	0.0	0.0	0.0	0.0
01to72	0.0	0.0	0.0	0.0
01to73	4.0	0.0	0.0	18.33030277982336
01to74	0.0	0.0	0.0	0.0
01to75	20.428571428571427	0.0	2.4705882352941178	67.71895704200666
01to76	0.0	0.0	0.0	0.0
01to77	52.476190476190474	0.0	12.117647058823529	158.03974786351029
01to78	3.0	0.0	0.0	13.29661611087573
01to79	0.2857142857142857	0.0	0.0	1.3093073414159542
01to80	7.095238095238095	0.0	3.4705882352941178	14.638663743336554
01to81	3.0476190476190474	0.0	0.0	13.965944975103511
01to82	0.0	0.0	0.0	0.0
01to83	31.428571428571427	0.0	0.29411764705882354	134.42751631588357
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	85.66666666666667	8.0	56.64705882352941	141.40591689647692
02to06	1.4285714285714286	0.0	0.0	6.546536707079771
02to07	70.42857142857143	8.0	44.705882352941174	122.66929991997648
02to08	0.47619047619047616	0.0	0.0	1.5368489717290903
02to09	0.0	0.0	0.0	0.0
02to10	16.666666666666668	0.0	0.29411764705882354	63.211022245596794
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.0	0.0	0.0	0.0
02to14	0.0	0.0	0.0	0.0
02to15	0.42857142857142855	0.0	0.0	1.7484687178050562
02to16	5.0476190476190474	0.0	0.058823529411764705	22.44877767379817
02to17	0.9523809523809523	0.0	0.0	3.9303459195876194
02to18	17.0	0.0	4.529411764705882	43.10220411997512
02to19	0.2857142857142857	0.0	0.0	1.1019463300386794
02to20	2.0	0.0	0.23529411764705882	7.8230428862431785
02to21	20.095238095238095	0.0	3.176470588235294	61.089200978491085
02to22	88.95238095238095	0.0	31.58823529411765	219.24426473467355
02to23	143.95238095238096	4.0	68.70588235294117	278.9766076556377
02to24	74.23809523809524	0.0	19.294117647058822	205.4577583742957
02to25	27.857142857142858	0.0	5.9411764705882355	73.59910713744135
02to26	0.0	0.0	0.0	0.0
02to27	0.14285714285714285	0.0	0.0	0.6546536707079771
02to28	50.57142857142857	0.0	1.411764705882353	172.73117015425197
02to29	19.285714285714285	0.0	0.058823529411764705	73.5256029265608
02to30	67.0	0.0	19.529411764705884	184.36377084449103
02to31	0.0	0.0	0.0	0.0
02to32	801.1428571428571	279.0	426.5882352941176	1415.5818692578075
02to33	0.3333333333333333	0.0	0.0	1.5275252316519468
02to34	2957.285714285714	2687.0	2833.529411764706	2048.28958262393
02to35	299.7142857142857	0.0	25.294117647058822	887.1290291077811
02to36	344.23809523809524	0.0	73.82352941176471	935.207939699076
02to37	1572.7142857142858	692.0	1085.1764705882354	2261.1744104083864
02to38	97.57142857142857	0.0	27.41176470588235	290.9193309886044
02to39	0.0	0.0	0.0	0.0
02to40	0.047619047619047616	0.0	0.0	0.21821789023599236
02to41	0.0	0.0	0.0	0.0
02to42	0.0	0.0	0.0	0.0
02to43	0.0	0.0	0.0	0.0
02to44	0.0	0.0	0.0	0.0
02to45	0.0	0.0	0.0	0.0
02to46	0.0	0.0	0.0	0.0
02to47	0.0	0.0	0.0	0.0
02to48	4.904761904761905	0.0	0.0	22.476442694307217
02to49	0.0	0.0	0.0	0.0
02to50	0.0	0.0	0.0	0.0
02to51	0.0	0.0	0.0	0.0
02to52	0.0	0.0	0.0	0.0
02to53	0.0	0.0	0.0	0.0
02to54	0.0	0.0	0.0	0.0
02to55	0.0	0.0	0.0	0.0
02to56	0.0	0.0	0.0	0.0
02to57	0.0	0.0	0.0	0.0
02to58	0.0	0.0	0.0	0.0
02to59	0.14285714285714285	0.0	0.0	0.6546536707079771
02to60	0.5714285714285714	0.0	0.0	2.6186146828319083
02to61	0.047619047619047616	0.0	0.0	0.21821789023599236
02to62	0.09523809523809523	0.0	0.0	0.4364357804719847
02to63	0.0	0.0	0.0	0.0
02to64	0.7142857142857143	0.0	0.0	2.305273457593635
02to65	0.0	0.0	0.0	0.0
02to66	0.0	0.0	0.0	0.0
02to67	0.0	0.0	0.0	0.0
02to68	0.0	0.0	0.0	0.0
02to69	0.0	0.0	0.0	0.0
02to70	0.14285714285714285	0.0	0.0	0.6546536707079771
02to71	0.42857142857142855	0.0	0.0	1.7484687178050562
02to72	0.0	0.0	0.0	0.0
02to73	3.761904761904762	0.0	0.11764705882352941	15.677706343418867
02to74	1.6666666666666667	0.0	0.0	7.637626158259733
02to75	4.761904761904762	0.0	0.0	21.821789023599237
02to76	15.238095238095237	0.0	0.0	69.14542990097375
02to77	1.380952380952381	0.0	0.0	5.481570855842242
02to78	58.333333333333336	0.0	0.7058823529411765	201.20023194154953
02to79	1.7142857142857142	0.0	0.0	7.855844048495726
02to80	0.09523809523809523	0.0	0.0	0.4364357804719847
02to81	0.047619047619047616	0.0	0.0	0.21821789023599236
02to82	0.0	0.0	0.0	0.0
02to83	49.95238095238095	0.0	1.0588235294117647	221.38687318594032
03to04	404.23809523809524	199.0	319.29411764705884	492.2630297678168
03to05	0.0	0.0	0.0	0.0
03to06	0.0	0.0	0.0	0.0
03to07	0.14285714285714285	0.0	0.0	0.47809144373375745
03to08	21.666666666666668	0.0	5.764705882352941	63.16116950574406
03to09	0.0	0.0	0.0	0.0
03to10	3.8095238095238093	0.0	0.0	16.563873483032427
03to11	0.0	0.0	0.0	0.0
03to12	718.6666666666666	283.0	503.11764705882354	1075.0025736403302
03to13	71.28571428571429	0.0	17.11764705882353	182.65463116415714
03to14	0.0	0.0	0.0	0.0
