//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1209.4827586206898	809.0	1092.08	1100.458917928907
01to03	292.37931034482756	12.0	189.36	554.0189149551474
01to04	512.5172413793103	329.0	424.2	561.4398339912462
01to05	493.9310344827586	33.0	234.6	1118.5409798685607
01to06	0.0	0.0	0.0	0.0
01to07	1842.8275862068965	944.0	1681.08	1917.8072499037153
01to08	8.03448275862069	0.0	0.48	34.55170324375247
01to09	0.0	0.0	0.0	0.0
01to10	34.41379310344828	0.0	0.08	163.38331730744187
01to11	0.0	0.0	0.0	0.0
01to12	396.8965517241379	218.0	281.84	611.7779910595244
01to13	20.0	0.0	0.92	94.00113981071871
01to14	0.0	0.0	0.0	0.0
01to15	0.3103448275862069	0.0	0.0	1.6712580435934667
01to16	3.8275862068965516	0.0	0.36	13.344525269930099
01to17	2.0	0.0	0.04	10.01784122738741
01to18	37.6551724137931	0.0	16.8	101.48725319751419
01to19	0.6896551724137931	0.0	0.12	2.421679586506942
01to20	2.5172413793103448	0.0	0.08	11.727929696897464
01to21	20.862068965517242	0.0	0.0	111.38790782599436
01to22	42.37931034482759	0.0	0.16	218.03152029549426
01to23	23.75862068965517	0.0	3.6	98.07601103678054
01to24	0.034482758620689655	0.0	0.0	0.18569533817705186
01to25	13.03448275862069	0.0	2.92	40.42672627166755
01to26	9.068965517241379	0.0	0.0	48.45464081745698
01to27	24.06896551724138	0.0	3.28	105.24934035574853
01to28	218.3448275862069	55.0	166.24	322.40505533324614
01to29	74.96551724137932	0.0	19.48	275.02265916499897
01to30	108.96551724137932	3.0	30.72	363.76311785464185
01to31	0.10344827586206896	0.0	0.0	0.5570860145311556
01to32	1164.9655172413793	75.0	710.36	2216.713405065491
01to33	2.103448275862069	0.0	0.0	11.327415628800164
01to34	1899.0689655172414	1455.0	1769.16	1409.7600335577501
01to35	9.517241379310345	0.0	2.92	26.436744841839214
01to36	407.7241379310345	154.0	248.2	731.5280922518933
01to37	530.9310344827586	146.0	425.0	781.554126223353
01to38	8.586206896551724	0.0	1.8	26.265835008047066
01to39	219.17241379310346	139.0	185.24	261.1443318721766
01to40	2.1724137931034484	0.0	0.0	11.698806305154267
01to41	3.0344827586206895	0.0	0.04	12.59671941028607
01to42	723.7241379310345	199.0	471.16	1301.5863918572522
01to43	0.0	0.0	0.0	0.0
01to44	199.75862068965517	0.0	117.0	412.1060590926645
01to45	87.96551724137932	8.0	53.4	181.44686013868412
01to46	0.06896551724137931	0.0	0.0	0.3713906763541037
01to47	0.0	0.0	0.0	0.0
01to48	696.8620689655172	215.0	415.96	1405.5623613785829
01to49	547.551724137931	0.0	58.48	2415.349450999451
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	54.827586206896555	31.0	44.52	70.64957231976368
01to54	1.0689655172413792	0.0	0.0	5.209407935119188
01to55	0.0	0.0	0.0	0.0
01to56	0.034482758620689655	0.0	0.0	0.18569533817705186
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	2.0	0.0	0.0	10.770329614269007
01to60	0.8275862068965517	0.0	0.0	4.26839686798921
01to61	0.5172413793103449	0.0	0.0	2.42929574825963
01to62	0.0	0.0	0.0	0.0
01to63	0.1724137931034483	0.0	0.0	0.9284766908852593
01to64	3.413793103448276	0.0	0.0	18.192457702063766
01to65	0.20689655172413793	0.0	0.0	1.1141720290623112
01to66	0.0	0.0	0.0	0.0
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	3.9655172413793105	0.0	0.0	15.326174526468225
01to70	3.4827586206896552	0.0	0.0	15.086940165149395
01to71	7.206896551724138	0.0	0.08	28.58993243177049
01to72	0.0	0.0	0.0	0.0
01to73	8.793103448275861	0.0	2.68	26.14844888918547
01to74	0.0	0.0	0.0	0.0
01to75	22.620689655172413	0.0	8.64	62.263503293378314
01to76	0.5172413793103449	0.0	0.0	2.1484328117951534
01to77	19.413793103448278	0.0	3.6	61.56501629600283
01to78	4.0344827586206895	0.0	1.56	11.509259497777958
01to79	1.0344827586206897	0.0	0.24	3.332553274900382
01to80	13.344827586206897	0.0	6.12	31.79765923782639
01to81	0.0	0.0	0.0	0.0
01to82	0.034482758620689655	0.0	0.0	0.18569533817705186
01to83	0.1724137931034483	0.0	0.0	0.9284766908852593
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	127.48275862068965	36.0	82.4	237.02962754680135
02to06	0.06896551724137931	0.0	0.0	0.3713906763541037
02to07	60.96551724137931	16.0	45.12	96.02324226033608
02to08	2.586206896551724	0.0	0.32	8.744456371975295
02to09	0.0	0.0	0.0	0.0
02to10	20.448275862068964	0.0	0.84	75.00361239247869
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	1.0344827586206897	0.0	0.0	5.570860145311556
02to14	0.034482758620689655	0.0	0.0	0.18569533817705186
02to15	0.5862068965517241	0.0	0.0	2.9702962981026264
02to16	5.793103448275862	0.0	1.72	18.68800094473309
02to17	3.0689655172413794	0.0	1.12	8.476568689556434
02to18	102.44827586206897	0.0	36.08	303.68564411797564
02to19	30.655172413793103	0.0	0.52	150.38742250364768
02to20	10.689655172413794	0.0	4.4	29.78506750547023
02to21	19.862068965517242	0.0	2.6	79.12680787279322
02to22	41.51724137931034	0.0	11.44	126.31667141685026
02to23	120.48275862068965	0.0	65.56	267.87918661346134
02to24	18.344827586206897	0.0	4.36	63.05058958717706
02to25	7.655172413793103	0.0	3.8	18.805918259323438
02to26	0.10344827586206896	0.0	0.0	0.40925259281898757
02to27	3.0689655172413794	0.0	0.0	16.526885097757614
02to28	79.34482758620689	0.0	18.96	239.70864396209782
