//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1177.875	706.5	1024.8	1132.0677623173717
01to03	195.375	7.5	103.3	388.241163565839
01to04	560.7083333333334	428.5	459.95	592.1372108297834
01to05	356.125	29.5	193.65	742.7424688275203
01to06	0.0	0.0	0.0	0.0
01to07	1659.625	862.5	1445.95	1772.2922472838977
01to08	9.708333333333334	0.0	0.6	37.89972945488692
01to09	0.0	0.0	0.0	0.0
01to10	41.5	0.0	0.0	179.42444213312356
01to11	0.0	0.0	0.0	0.0
01to12	419.5	240.5	280.2	658.551638726657
01to13	3.0833333333333335	0.0	0.2	10.934256765527904
01to14	0.0	0.0	0.0	0.0
01to15	0.375	0.0	0.0	1.8371173070873836
01to16	4.625	0.0	0.45	14.592471257169032
01to17	2.375	0.0	0.0	11.013085102652248
01to18	45.125	0.0	20.55	110.4454665749415
01to19	0.8333333333333334	0.0	0.15	2.6484887678869224
01to20	3.0416666666666665	0.0	0.1	12.875589194341721
01to21	25.208333333333332	0.0	0.0	122.43435833723014
01to22	49.125	0.0	0.0	239.8117581517347
01to23	25.708333333333332	0.0	0.9	107.45331814192684
01to24	0.0	0.0	0.0	0.0
01to25	15.75	0.0	3.65	44.1019076783484
01to26	10.958333333333334	0.0	0.0	53.26021369013497
01to27	27.083333333333332	0.0	2.2	115.54405019831997
01to28	249.33333333333334	86.0	190.4	343.3932549370064
01to29	90.41666666666667	0.0	24.15	301.05682211989074
01to30	130.08333333333334	2.5	36.5	397.9614266501834
01to31	0.125	0.0	0.0	0.6123724356957945
01to32	1120.0833333333333	59.0	542.85	2360.0633358610025
01to33	2.5416666666666665	0.0	0.0	12.451572859147822
01to34	1747.5833333333333	1454.0	1647.0	1155.4777636626507
01to35	11.5	0.0	3.65	28.758363622794494
01to36	339.875	162.5	245.75	497.54469430000654
01to37	535.5833333333334	123.5	404.1	781.2195547690951
01to38	6.25	0.0	1.05	21.782022902823567
01to39	204.25	125.5	162.15	252.4110260803924
01to40	0.0	0.0	0.0	0.0
01to41	2.7083333333333335	0.0	0.0	13.268069440075548
01to42	793.75	119.0	492.05	1417.2196371769621
01to43	0.0	0.0	0.0	0.0
01to44	193.08333333333334	0.0	94.9	413.95188931404414
01to45	86.25	2.0	42.7	194.52020125337157
01to46	0.08333333333333333	0.0	0.0	0.408248290463863
