//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1361.2	1138.0	1361.2	1035.9689667166676
01to03	758.0	209.0	758.0	976.9298848945098
01to04	281.2	134.0	281.2	331.0312674053616
01to05	1155.4	42.0	1155.4	2219.231015464591
01to06	0.0	0.0	0.0	0.0
01to07	2722.2	1649.0	2722.2	2552.847371074111
01to08	0.0	0.0	0.0	0.0
01to09	0.0	0.0	0.0	0.0
01to10	0.4	0.0	0.4	0.8944271909999159
01to11	0.0	0.0	0.0	0.0
01to12	288.4	201.0	288.4	329.2526385619408
01to13	101.2	0.0	101.2	226.2900793229787
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	0.0	0.0	0.0	0.0
01to17	0.2	0.0	0.2	0.4472135954999579
01to18	1.8	0.0	1.8	4.024922359499621
01to19	0.0	0.0	0.0	0.0
01to20	0.0	0.0	0.0	0.0
01to21	0.0	0.0	0.0	0.0
01to22	10.0	0.0	10.0	22.360679774997898
01to23	14.4	0.0	14.4	28.44819853699
01to24	0.2	0.0	0.2	0.4472135954999579
01to25	0.0	0.0	0.0	0.0
01to26	0.0	0.0	0.0	0.0
01to27	9.6	0.0	9.6	21.46625258399798
01to28	69.6	0.0	69.6	127.13496765249126
01to29	0.8	0.0	0.8	1.3038404810405297
01to30	7.6	4.0	7.6	9.964938534682489
01to31	0.0	0.0	0.0	0.0
01to32	1380.4	823.0	1380.4	1516.4787502632537
01to33	0.0	0.0	0.0	0.0
01to34	2626.2	2309.0	2626.2	2331.6058200304783
01to35	0.0	0.0	0.0	0.0
01to36	733.4	117.0	733.4	1470.4811457478806
01to37	508.6	146.0	508.6	875.0924522586171
01to38	19.8	0.0	19.8	43.71727347399423
01to39	290.8	185.0	290.8	321.380148733552
01to40	12.6	0.0	12.6	28.17445651649735
01to41	4.6	0.0	4.6	9.736529155710468
01to42	387.6	299.0	387.6	373.2329031583362
01to43	0.0	0.0	0.0	0.0
