//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1380.65625	885.0	1169.6538461538462	1332.782503113257
01to03	677.3125	96.5	440.03846153846155	1112.059595684889
01to04	560.21875	314.5	415.53846153846155	782.1765634505359
01to05	372.46875	94.0	235.57692307692307	618.9418120743427
01to06	1.03125	0.0	0.0	5.833630944789017
01to07	2782.0	1508.5	2223.076923076923	3395.10638343465
01to08	14.84375	0.0	0.8461538461538461	63.58134712014919
01to09	0.75	0.0	0.0	4.242640687119285
01to10	10.875	0.0	0.0	46.69720582923634
01to11	0.0	0.0	0.0	0.0
01to12	298.65625	198.5	249.8846153846154	338.0013942875422
01to13	0.8125	0.0	0.0	4.596194077712559
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	21.40625	0.0	0.0	94.71480429809168
01to17	0.71875	0.0	0.0	2.8310988975558478
01to18	15.90625	0.0	1.9615384615384615	59.492129799365195
01to19	3.78125	0.0	0.0	17.909691690579514
01to20	2.28125	0.0	0.0	9.575622189841276
01to21	3.96875	0.0	0.0	18.42593609474813
01to22	8.9375	0.0	0.07692307692307693	31.146829694208044
01to23	23.625	0.0	0.5769230769230769	96.033848199476
01to24	4.5625	0.0	0.0	24.563200248575367
01to25	51.5625	0.0	6.461538461538462	182.2948581901877
01to26	0.03125	0.0	0.0	0.1767766952966369
01to27	5.34375	0.0	1.1538461538461537	15.141503259839887
01to28	231.0	14.5	170.34615384615384	332.1932977902688
01to29	140.125	0.0	15.807692307692308	425.3181541599941
01to30	123.125	0.0	41.42307692307692	301.83201373633153
01to31	0.125	0.0	0.0	0.7071067811865476
01to32	581.90625	73.5	283.5769230769231	1225.570844200051
01to33	0.09375	0.0	0.0	0.5303300858899106
01to34	2001.03125	1750.0	1817.7307692307693	1398.7793868889703
01to35	17.84375	0.0	1.8846153846153846	52.03107593451461
01to36	396.84375	39.0	207.69230769230768	753.6676819383906
01to37	519.28125	2.5	239.07692307692307	1084.4985234563633
01to38	3.78125	0.0	0.2692307692307692	13.348273719486073
01to39	184.59375	72.5	133.0	266.8052158138665
01to40	0.09375	0.0	0.0	0.3901509219974802
01to41	2.09375	0.0	0.0	8.172966354528695
01to42	970.5	203.5	592.6538461538462	1582.9276265729088
01to43	0.0	0.0	0.0	0.0
01to44	234.59375	2.5	117.5	474.90018369738124
01to45	191.28125	11.0	103.65384615384616	356.18645301936476
01to46	0.0	0.0	0.0	0.0
01to47	0.0	0.0	0.0	0.0
01to48	1099.625	157.5	534.6923076923077	2387.7935117674456
01to49	116.59375	0.0	38.69230769230769	295.2606130812181
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	57.0	1.5	19.26923076923077	130.72206418396294
01to54	1.71875	0.0	0.0	9.722718241315029
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	0.375	0.0	0.0	2.1213203435596424
01to60	0.0	0.0	0.0	0.0
01to61	0.84375	0.0	0.0	3.9603630902294316
01to62	0.03125	0.0	0.0	0.1767766952966369
01to63	0.0	0.0	0.0	0.0
01to64	0.0	0.0	0.0	0.0
01to65	0.0	0.0	0.0	0.0
01to66	1.21875	0.0	0.0	6.894291116568838
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	0.0	0.0	0.0	0.0
01to70	3.625	0.0	0.0	20.506096654409877
01to71	0.0	0.0	0.0	0.0
01to72	0.0	0.0	0.0	0.0
01to73	0.46875	0.0	0.0	2.2998509769393825
01to74	0.0	0.0	0.0	0.0
01to75	9.65625	0.0	0.8846153846153846	37.493749479079845
01to76	0.21875	0.0	0.0	1.2374368670764582
01to77	9.0625	0.0	0.07692307692307693	47.31564393824016
01to78	5.96875	0.0	0.19230769230769232	24.67659773563713
01to79	0.03125	0.0	0.0	0.1767766952966369
01to80	4.40625	0.0	0.2692307692307692	13.399228131356262
01to81	0.0	0.0	0.0	0.0
01to82	0.0	0.0	0.0	0.0
01to83	20.1875	0.0	0.038461538461538464	82.14088506949508
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	73.40625	3.5	36.76923076923077	147.36521657586505
02to06	0.59375	0.0	0.0	3.3587572106361008
02to07	51.28125	2.0	19.53846153846154	143.0703040297367
02to08	0.8125	0.0	0.0	3.2867034175353744
02to09	2.9375	0.0	0.0	16.617009357883866
02to10	3.4375	0.0	0.3076923076923077	10.438568372981965
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.0	0.0	0.0	0.0
02to14	0.0	0.0	0.0	0.0
02to15	0.0	0.0	0.0	0.0
02to16	5.25	0.0	0.38461538461538464	19.03477293390077
02to17	0.59375	0.0	0.0	3.1811884064637472
02to18	85.9375	0.0	9.884615384615385	310.419584672725
02to19	11.875	0.0	0.038461538461538464	48.05020895527054
02to20	31.4375	0.0	0.038461538461538464	174.93297103416128
02to21	10.03125	0.0	0.15384615384615385	38.354445740546375
02to22	29.46875	0.0	2.8846153846153846	109.95717183111239
02to23	197.59375	0.0	15.038461538461538	762.2322844406083
02to24	61.03125	0.0	10.0	169.31579282988608
02to25	23.375	0.0	3.269230769230769	77.58813926650586
02to26	0.40625	0.0	0.0	2.1229829136413
02to27	2.59375	0.0	0.0	14.311870496087302
02to28	198.0	0.0	58.57692307692308	550.6037155821809
02to29	25.875	0.0	2.730769230769231	95.68049991777912
02to30	141.125	0.0	27.26923076923077	475.254957042584
02to31	0.15625	0.0	0.0	0.8838834764831844
02to32	1219.71875	278.5	893.5	1714.5943418361242
02to33	0.09375	0.0	0.0	0.5303300858899106
02to34	2628.90625	2337.5	2496.6923076923076	1747.1672253988925
02to35	109.375	1.0	42.38461538461539	256.3821177901857
02to36	332.21875	0.0	52.34615384615385	1344.3433397465722
02to37	1724.5625	555.5	1257.3076923076924	2526.3162003903703
02to38	33.40625	0.0	13.461538461538462	76.58596661437436
02to39	0.0	0.0	0.0	0.0
02to40	3.625	0.0	0.0	14.338646177151746
02to41	0.09375	0.0	0.0	0.5303300858899106
02to42	8.78125	0.0	0.0	49.67425137835497
02to43	0.0	0.0	0.0	0.0
02to44	0.0	0.0	0.0	0.0
02to45	0.03125	0.0	0.0	0.1767766952966369
02to46	0.0	0.0	0.0	0.0
02to47	0.0	0.0	0.0	0.0
02to48	1.1875	0.0	0.0	5.520854889387822
02to49	0.03125	0.0	0.0	0.1767766952966369
02to50	0.0	0.0	0.0	0.0
02to51	0.0	0.0	0.0	0.0
02to52	0.0	0.0	0.0	0.0
02to53	0.0	0.0	0.0	0.0
02to54	0.0	0.0	0.0	0.0
02to55	0.0	0.0	0.0	0.0
02to56	0.0	0.0	0.0	0.0
02to57	0.0	0.0	0.0	0.0
02to58	0.0	0.0	0.0	0.0
02to59	5.59375	0.0	0.11538461538461539	25.368076681453978
02to60	4.53125	0.0	0.0	25.63262081801235
02to61	7.21875	0.0	0.038461538461538464	39.387024533631674
02to62	0.125	0.0	0.0	0.7071067811865476
02to63	0.15625	0.0	0.0	0.7233156184342819
02to64	0.4375	0.0	0.0	1.4797013648139472
02to65	0.03125	0.0	0.0	0.1767766952966369
02to66	0.09375	0.0	0.0	0.5303300858899106
02to67	0.0	0.0	0.0	0.0
02to68	0.0	0.0	0.0	0.0
02to69	0.0	0.0	0.0	0.0
02to70	0.03125	0.0	0.0	0.1767766952966369
02to71	0.1875	0.0	0.0	0.7803018439949604
02to72	0.0	0.0	0.0	0.0
02to73	4.09375	0.0	0.038461538461538464	17.412193308324245
02to74	0.03125	0.0	0.0	0.1767766952966369
02to75	13.28125	0.0	0.07692307692307693	72.95258485548524
02to76	3.09375	0.0	0.0	16.430419025540363
02to77	0.0	0.0	0.0	0.0
02to78	84.5625	0.0	1.5769230769230769	337.21037154485526
02to79	1.5625	0.0	0.0	7.513160496432995
02to80	0.0	0.0	0.0	0.0
02to81	0.0625	0.0	0.0	0.3535533905932738
02to82	0.0	0.0	0.0	0.0
02to83	7.03125	0.0	1.7307692307692308	19.634538980269998
03to04	317.46875	146.0	256.7692307692308	375.3639940433732
03to05	0.0	0.0	0.0	0.0
03to06	0.0	0.0	0.0	0.0
03to07	17.15625	0.0	0.9615384615384616	75.8913099598324
03to08	29.5625	0.0	1.4230769230769231	109.18877925926745
03to09	0.0	0.0	0.0	0.0
03to10	0.0	0.0	0.0	0.0
03to11	0.0	0.0	0.0	0.0
03to12	417.25	180.5	331.8076923076923	542.0913504733908
03to13	36.25	0.0	0.7307692307692307	138.05141632155426
03to14	0.0	0.0	0.0	0.0
03to15	0.0	0.0	0.0	0.0
03to16	0.0	0.0	0.0	0.0
03to17	0.0	0.0	0.0	0.0
03to18	0.0	0.0	0.0	0.0
03to19	0.0	0.0	0.0	0.0
03to20	0.0	0.0	0.0	0.0
03to21	0.03125	0.0	0.0	0.1767766952966369
03to22	0.0	0.0	0.0	0.0
03to23	14.125	0.0	0.0	79.72078289760113
03to24	0.03125	0.0	0.0	0.1767766952966369
03to25	4.25	0.0	0.0	24.041630560342615
03to26	0.0	0.0	0.0	0.0
03to27	0.0	0.0	0.0	0.0
03to28	149.25	0.0	22.53846153846154	427.74683498386014
03to29	2.59375	0.0	0.0	12.96859575306639
03to30	17.1875	0.0	0.0	97.22718241315029
03to31	0.0	0.0	0.0	0.0
03to32	83.40625	0.0	10.23076923076923	280.85512961426423
03to33	0.0	0.0	0.0	0.0
03to34	497.28125	30.5	302.6923076923077	897.0031191507246
03to35	45.9375	0.0	1.7692307692307692	218.98562885532303
03to36	308.25	77.0	230.53846153846155	443.57797437974614
03to37	210.40625	1.0	113.53846153846153	406.22065030457395
03to38	10.53125	0.0	1.3846153846153846	34.530009739075446
03to39	86.15625	2.0	38.84615384615385	197.6947972580544
03to40	0.0	0.0	0.0	0.0
03to41	0.0	0.0	0.0	0.0
03to42	378.84375	76.0	271.2692307692308	593.7353656940156
03to43	0.0	0.0	0.0	0.0
03to44	352.03125	136.5	248.57692307692307	488.97268769790827
03to45	182.9375	5.0	100.8076923076923	329.13071601691394
03to46	0.0	0.0	0.0	0.0
03to47	0.0	0.0	0.0	0.0
03to48	1344.15625	969.5	933.3076923076923	1772.4321927860015
03to49	473.625	85.0	263.11538461538464	888.8899837582862
03to50	0.0	0.0	0.0	0.0
03to51	0.0	0.0	0.0	0.0
03to52	0.0	0.0	0.0	0.0
03to53	19.34375	0.0	11.0	36.01667120707728
03to54	0.40625	0.0	0.0	1.7935255423237613
03to55	0.0	0.0	0.0	0.0
03to56	0.0	0.0	0.0	0.0
03to57	0.0	0.0	0.0	0.0
03to58	0.0	0.0	0.0	0.0
03to59	0.0	0.0	0.0	0.0
03to60	0.0	0.0	0.0	0.0
03to61	0.0	0.0	0.0	0.0
03to62	0.0	0.0	0.0	0.0
03to63	0.0	0.0	0.0	0.0
03to64	0.0	0.0	0.0	0.0
03to65	0.0	0.0	0.0	0.0
03to66	0.0	0.0	0.0	0.0
03to67	0.0	0.0	0.0	0.0
03to68	0.0	0.0	0.0	0.0
03to69	0.0	0.0	0.0	0.0
03to70	0.0	0.0	0.0	0.0
03to71	0.0	0.0	0.0	0.0
03to72	0.0	0.0	0.0	0.0
03to73	0.0	0.0	0.0	0.0
03to74	0.0	0.0	0.0	0.0
03to75	0.875	0.0	0.0	4.949747468305833
03to76	0.0	0.0	0.0	0.0
03to77	0.53125	0.0	0.038461538461538464	2.047569369418444
03to78	0.0	0.0	0.0	0.0
03to79	0.0	0.0	0.0	0.0
03to80	10.6875	0.0	0.0	59.014726155645306
03to81	0.0	0.0	0.0	0.0
03to82	0.0	0.0	0.0	0.0
03to83	0.34375	0.0	0.0	1.7709005363592332
04to05	0.0	0.0	0.0	0.0
04to06	0.0	0.0	0.0	0.0
04to07	147.78125	57.0	93.11538461538461	292.5520339022147
04to08	366.28125	163.5	297.7307692307692	437.5312880517158
04to09	0.0	0.0	0.0	0.0
04to10	1.5625	0.0	0.0	8.838834764831844
04to11	0.3125	0.0	0.0	1.7677669529663689
04to12	207.34375	126.5	156.8846153846154	249.9422655108769
04to13	17.96875	0.0	5.576923076923077	51.94133438545775
04to14	0.0	0.0	0.0	0.0
04to15	0.0	0.0	0.0	0.0
04to16	0.09375	0.0	0.0	0.5303300858899106
04to17	0.0	0.0	0.0	0.0
04to18	0.0	0.0	0.0	0.0
04to19	0.0	0.0	0.0	0.0
04to20	0.0	0.0	0.0	0.0
04to21	0.0	0.0	0.0	0.0
04to22	0.0	0.0	0.0	0.0
04to23	0.0	0.0	0.0	0.0
04to24	0.0	0.0	0.0	0.0
04to25	0.75	0.0	0.0	3.3214843164639705
04to26	0.0	0.0	0.0	0.0
04to27	0.90625	0.0	0.0	3.5136542415314937
04to28	24.34375	0.0	0.46153846153846156	127.45691476325536
04to29	4.84375	0.0	0.11538461538461539	18.470742994644084
04to30	4.15625	0.0	0.0	16.764227226929638
04to31	0.0	0.0	0.0	0.0
04to32	35.46875	0.0	0.0	200.45914785730636
04to33	0.0	0.0	0.0	0.0
04to34	80.4375	1.5	28.846153846153847	200.57094915555763
04to35	0.6875	0.0	0.038461538461538464	3.354703005940245
04to36	14.28125	0.0	1.2692307692307692	50.58447701139283
04to37	8.0625	0.0	0.5769230769230769	35.70121304526256
04to38	0.0	0.0	0.0	0.0
04to39	33.125	2.0	10.923076923076923	85.05282988218406
04to40	0.0	0.0	0.0	0.0
04to41	0.0	0.0	0.0	0.0
04to42	278.1875	59.5	121.76923076923077	620.0950727054267
04to43	0.0	0.0	0.0	0.0
04to44	123.0	46.0	74.46153846153847	219.81546512854234
04to45	116.1875	36.5	66.23076923076923	219.0447645367671
04to46	0.0	0.0	0.0	0.0
04to47	0.0	0.0	0.0	0.0
04to48	629.71875	101.5	335.15384615384613	1241.428579639914
04to49	100.15625	2.5	22.153846153846153	341.1299165415977
04to50	0.0	0.0	0.0	0.0
04to51	1.5625	0.0	0.0	8.838834764831844
04to52	0.0	0.0	0.0	0.0
04to53	27.25	7.0	19.03846153846154	40.651945158396664
04to54	0.46875	0.0	0.038461538461538464	1.5023503092198247
04to55	0.28125	0.0	0.0	1.590990257669732
04to56	0.0	0.0	0.0	0.0
04to57	3.40625	0.0	0.0	19.26865978733342
04to58	0.0	0.0	0.0	0.0
04to59	0.0625	0.0	0.0	0.3535533905932738
04to60	0.0	0.0	0.0	0.0
04to61	0.40625	0.0	0.0	2.2980970388562794
04to62	0.0	0.0	0.0	0.0
04to63	0.0	0.0	0.0	0.0
04to64	0.0	0.0	0.0	0.0
04to65	0.0	0.0	0.0	0.0
04to66	0.0	0.0	0.0	0.0
04to67	0.0	0.0	0.0	0.0
04to68	0.0	0.0	0.0	0.0
