//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1220.875	999.5	1074.7142857142858	1198.0869125401546
01to03	759.375	314.0	676.4285714285714	920.8501778248186
01to04	409.9375	327.5	357.14285714285717	370.7253194752147
01to05	547.75	305.5	451.92857142857144	622.6822089423572
01to06	0.375	0.0	0.0	1.5
01to07	2133.0	1466.5	1979.5714285714287	1817.4409481465966
01to08	1.6875	0.0	0.6428571428571429	4.895150661624216
01to09	0.0	0.0	0.0	0.0
01to10	31.8125	0.0	7.142857142857143	102.27884678661566
01to11	0.0	0.0	0.0	0.0
01to12	414.875	215.0	357.85714285714283	479.7349094378408
01to13	24.0625	0.0	0.2857142857142857	95.18856286340286
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	1.3125	0.0	0.0	5.25
01to17	0.0625	0.0	0.0	0.25
01to18	0.8125	0.0	0.0	3.25
01to19	0.0	0.0	0.0	0.0
01to20	0.1875	0.0	0.0	0.75
01to21	0.875	0.0	0.0	3.5
01to22	7.5	0.0	1.1428571428571428	25.917818838269035
01to23	13.375	0.0	1.2142857142857142	49.12823356618202
01to24	1.0625	0.0	0.5714285714285714	2.743932700826802
01to25	128.6875	0.0	9.857142857142858	478.75557002852025
01to26	0.0	0.0	0.0	0.0
01to27	9.8125	0.0	0.14285714285714285	38.719880767722756
01to28	229.5	27.0	144.71428571428572	488.9388509824107
01to29	47.4375	0.0	23.857142857142858	127.70955002139294
01to30	38.5625	0.0	8.214285714285714	124.94210325853598
01to31	0.1875	0.0	0.07142857142857142	0.5439056290693574
01to32	387.4375	72.5	296.7857142857143	664.8421335174238
01to33	0.0	0.0	0.0	0.0
01to34	2042.9375	1645.0	1911.642857142857	1467.2668681940584
01to35	1.875	0.0	1.1428571428571428	4.224926034855522
01to36	262.1875	20.5	199.92857142857142	401.3931105122093
01to37	330.9375	38.5	223.57142857142858	603.1794060089695
01to38	0.25	0.0	0.07142857142857142	0.7745966692414834
01to39	151.0	85.0	102.85714285714286	237.91483069927915
01to40	0.0	0.0	0.0	0.0
01to41	0.0625	0.0	0.0	0.25
01to42	866.625	62.0	741.0714285714286	1276.0955489304083
01to43	0.1875	0.0	0.0	0.75
01to44	368.1875	3.5	138.42857142857142	1030.0926313524753
01to45	50.0625	2.0	36.285714285714285	97.66436999574955
01to46	2.0625	0.0	0.0	8.25
01to47	0.0	0.0	0.0	0.0
01to48	947.25	590.0	745.4285714285714	1269.0388751597277
01to49	23.5	0.0	10.785714285714286	63.7589209444451
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	57.5	11.5	48.357142857142854	82.79291435060532
01to54	2.6875	0.0	0.0	10.75
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	3.4375	0.0	0.07142857142857142	13.485640511299417
01to60	0.0	0.0	0.0	0.0
01to61	0.0	0.0	0.0	0.0
01to62	0.0	0.0	0.0	0.0
01to63	0.0	0.0	0.0	0.0
01to64	0.0625	0.0	0.0	0.25
01to65	0.0	0.0	0.0	0.0
01to66	0.0	0.0	0.0	0.0
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	0.0	0.0	0.0	0.0
01to70	0.0625	0.0	0.0	0.25
01to71	0.0	0.0	0.0	0.0
01to72	0.0	0.0	0.0	0.0
01to73	0.0	0.0	0.0	0.0
01to74	0.0	0.0	0.0	0.0
01to75	19.5	0.0	0.5	76.14284820870134
01to76	0.0	0.0	0.0	0.0
01to77	56.3125	0.0	14.714285714285714	176.2992602555855
01to78	3.9375	0.0	0.14285714285714285	15.224842637391472
01to79	0.0	0.0	0.0	0.0
01to80	6.3125	0.0	3.5	15.39142077045954
01to81	4.0	0.0	0.0	16.0
01to82	0.0	0.0	0.0	0.0
01to83	40.9375	0.0	2.7142857142857144	153.90883394616003
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	88.75	4.0	67.14285714285714	157.76924077060565
02to06	1.875	0.0	0.0	7.5
02to07	58.9375	7.5	35.285714285714285	121.04735643540506
02to08	0.625	0.0	0.2857142857142857	1.746424919657298
02to09	0.0	0.0	0.0	0.0
02to10	21.75	0.0	4.357142857142857	72.19095049473538
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.0	0.0	0.0	0.0
