//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1525.7941176470588	1158.0	1398.5	1214.4289038015324
01to03	460.1764705882353	61.5	332.92857142857144	708.6183941449016
01to04	516.6470588235294	305.0	334.92857142857144	826.9698203555956
01to05	293.1764705882353	73.0	189.17857142857142	495.4235696542747
01to06	0.17647058823529413	0.0	0.0	1.0289915108550531
01to07	2262.470588235294	1417.0	1962.6785714285713	2362.0565286553324
01to08	6.588235294117647	0.0	0.17857142857142858	31.631512525806155
01to09	0.0	0.0	0.0	0.0
01to10	2.9705882352941178	0.0	0.0	12.943900620750199
01to11	0.0	0.0	0.0	0.0
01to12	342.3529411764706	186.5	269.10714285714283	416.76247739791177
01to13	17.176470588235293	0.0	0.2857142857142857	86.86439120775007
01to14	0.0	0.0	0.0	0.0
01to15	0.2647058823529412	0.0	0.0	1.5434872662825796
01to16	1.7941176470588236	0.0	0.0	10.113835143953706
01to17	0.08823529411764706	0.0	0.0	0.5144957554275266
01to18	21.0	0.0	1.9285714285714286	88.9347735106687
01to19	0.35294117647058826	0.0	0.0	2.0579830217101063
01to20	1.9705882352941178	0.0	0.0	10.796984130309744
01to21	3.411764705882353	0.0	0.0	17.584631111766274
01to22	9.176470588235293	0.0	0.07142857142857142	32.4704719830516
01to23	16.352941176470587	0.0	0.6071428571428571	86.44735036440815
01to24	0.29411764705882354	0.0	0.0	1.5478119799037897
01to25	7.323529411764706	0.0	1.1071428571428572	21.684683308641574
01to26	7.764705882352941	0.0	0.0	44.74714063898853
01to27	2.823529411764706	0.0	0.14285714285714285	9.699954977200399
01to28	215.97058823529412	22.5	139.85714285714286	361.49089307394877
01to29	10.470588235294118	0.0	1.9642857142857142	37.278830855413425
01to30	15.294117647058824	0.0	4.678571428571429	43.212322465174495
01to31	0.14705882352941177	0.0	0.0	0.6096373955153138
01to32	993.2941176470588	81.5	498.89285714285717	2048.2783832076793
01to33	0.0	0.0	0.0	0.0
01to34	1874.8529411764705	1563.0	1687.0357142857142	1346.901970119689
01to35	6.735294117647059	0.0	0.25	24.28031853359201
01to36	299.4117647058824	88.0	138.5	678.4785616696199
01to37	391.6470588235294	49.5	254.0	631.5410628628961
01to38	7.029411764705882	0.0	0.42857142857142855	24.464551094380504
01to39	205.88235294117646	96.0	153.53571428571428	293.2213730588859
01to40	1.911764705882353	0.0	0.0	10.799460275679952
01to41	1.9705882352941178	0.0	0.0	11.13956991204382
01to42	710.6470588235294	131.5	454.57142857142856	1196.7026891434684
01to43	0.08823529411764706	0.0	0.0	0.5144957554275266
01to44	271.52941176470586	4.0	159.32142857142858	511.6502851169435
01to45	96.8529411764706	6.0	51.57142857142857	193.28940969483622
01to46	1.0294117647058822	0.0	0.0	5.6594533097027915
01to47	0.0	0.0	0.0	0.0
01to48	777.3235294117648	226.0	529.5	1222.9752771501553
01to49	486.47058823529414	0.0	43.107142857142854	2232.504969423959
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	53.3235294117647	18.0	38.392857142857146	79.3094134762933
01to54	0.8235294117647058	0.0	0.0	4.801960383990248
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	0.35294117647058826	0.0	0.0	2.0579830217101063
01to60	0.6764705882352942	0.0	0.0	3.9444674582777033
01to61	0.14705882352941177	0.0	0.0	0.8574929257125442
01to62	0.029411764705882353	0.0	0.0	0.17149858514250885
01to63	0.0	0.0	0.0	0.0
01to64	0.029411764705882353	0.0	0.0	0.17149858514250885
01to65	0.0	0.0	0.0	0.0
01to66	1.1470588235294117	0.0	0.0	6.688444820557844
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	1.2647058823529411	0.0	0.0	7.37443916112788
01to70	3.4411764705882355	0.0	0.0	19.88937766820572
01to71	0.058823529411764705	0.0	0.0	0.3429971702850177
01to72	0.0	0.0	0.0	0.0
01to73	2.7058823529411766	0.0	0.0	14.398083651452529
01to74	0.0	0.0	0.0	0.0
01to75	13.882352941176471	0.0	2.0714285714285716	53.291516583321645
01to76	0.3235294117647059	0.0	0.0	1.8864844365675972
01to77	29.235294117647058	0.0	9.035714285714286	76.39017024799024
01to78	8.852941176470589	0.0	2.142857142857143	26.505725342571345
01to79	0.47058823529411764	0.0	0.0	2.5729984173362745
01to80	9.352941176470589	0.0	4.107142857142857	21.991571874506526
01to81	1.8823529411764706	0.0	0.0	10.975909449120566
01to82	0.029411764705882353	0.0	0.0	0.17149858514250885
01to83	13.235294117647058	0.0	0.0	70.76039759705066
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	153.7941176470588	27.0	102.71428571428571	256.2273823764761
02to06	1.4411764705882353	0.0	0.0	6.006013029736864
02to07	46.205882352941174	6.0	27.892857142857142	83.2971240406311
02to08	2.5	0.0	0.39285714285714285	8.117508201039245
02to09	0.0	0.0	0.0	0.0
02to10	3.1176470588235294	0.0	0.17857142857142858	11.785365105058755
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.8823529411764706	0.0	0.0	5.144957554275265
02to14	0.029411764705882353	0.0	0.0	0.17149858514250885
02to15	0.47058823529411764	0.0	0.0	2.7439773622801416
02to16	3.323529411764706	0.0	0.2857142857142857	16.594487197488014
02to17	0.8235294117647058	0.0	0.0	3.4856466574110545
02to18	28.029411764705884	0.0	5.535714285714286	93.18911540489331
02to19	3.0588235294117645	0.0	0.0	12.4947047607706
02to20	6.235294117647059	0.0	0.07142857142857142	23.87728580018258
02to21	3.0	0.0	0.42857142857142855	9.739018679953583
02to22	43.26470588235294	0.0	4.392857142857143	159.99134613406332
02to23	153.94117647058823	0.0	21.357142857142858	687.1127533592118
02to24	76.0	0.0	18.178571428571427	208.07530688030556
02to25	13.147058823529411	0.0	2.5714285714285716	41.52263519469334
02to26	0.4117647058823529	0.0	0.0	2.061444728146119
02to27	2.6176470588235294	0.0	0.0	15.263374077683286
02to28	191.7941176470588	0.0	63.142857142857146	541.4018156830982
02to29	16.823529411764707	0.0	2.0357142857142856	60.35926309781482
02to30	132.7941176470588	0.0	25.035714285714285	462.9496195779619
02to31	0.0	0.0	0.0	0.0
02to32	1729.1470588235295	227.0	1018.75	3202.939739944909
02to33	0.20588235294117646	0.0	0.0	1.200490095997562
02to34	2638.0588235294117	2463.0	2543.964285714286	1840.3639452511538
02to35	152.97058823529412	0.0	35.357142857142854	577.4671175365808
02to36	320.05882352941177	1.5	58.07142857142857	1051.5496484244595
02to37	1684.5	820.0	1272.2142857142858	2192.5967066886283
02to38	27.235294117647058	0.0	10.0	67.83806870085843
02to39	0.0	0.0	0.0	0.0
02to40	2.088235294117647	0.0	0.03571428571428571	11.476900772285974
02to41	0.0	0.0	0.0	0.0
02to42	4.235294117647059	0.0	0.0	24.695796260521274
02to43	0.0	0.0	0.0	0.0
02to44	0.0	0.0	0.0	0.0
02to45	0.0	0.0	0.0	0.0
02to46	0.0	0.0	0.0	0.0
02to47	0.0	0.0	0.0	0.0
02to48	4.323529411764706	0.0	0.07142857142857142	18.563111984786246
02to49	1.7058823529411764	0.0	0.0	9.599650914627544
02to50	0.0	0.0	0.0	0.0
02to51	0.0	0.0	0.0	0.0
02to52	0.0	0.0	0.0	0.0
02to53	0.0	0.0	0.0	0.0
02to54	0.0	0.0	0.0	0.0
02to55	0.0	0.0	0.0	0.0
