//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1080.3095238095239	716.5	861.9705882352941	1195.1451894265917
01to03	576.3571428571429	61.5	366.5882352941176	1015.8659125420088
01to04	518.3571428571429	418.5	462.8529411764706	421.20650293943334
01to05	578.4761904761905	136.0	329.0882352941176	1028.9676388780672
01to06	0.7857142857142857	0.0	0.0	5.092010548749033
01to07	2250.190476190476	1351.0	1808.9117647058824	2842.793621174427
01to08	12.166666666666666	0.0	0.6176470588235294	55.73540131146086
01to09	0.5714285714285714	0.0	0.0	3.7032803990902057
01to10	41.76190476190476	0.0	2.7941176470588234	151.99419268813378
01to11	0.0	0.0	0.0	0.0
01to12	381.54761904761904	229.0	274.3529411764706	536.865073769208
01to13	9.69047619047619	0.0	0.0	58.82860101454638
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	18.0	0.0	0.2647058823529412	82.86339036881508
01to17	1.880952380952381	0.0	0.058823529411764705	8.602899060292383
01to18	21.428571428571427	0.0	4.9411764705882355	60.92864393344024
01to19	3.0714285714285716	0.0	0.029411764705882353	15.64763343307061
01to20	1.9523809523809523	0.0	0.029411764705882353	8.43035277146429
01to21	15.0	0.0	0.0	92.55189710933313
01to22	31.5	0.0	0.23529411764705882	181.28380256705432
01to23	26.261904761904763	0.0	2.5588235294117645	91.5783176819389
01to24	3.6666666666666665	0.0	0.0	21.4449569563986
01to25	91.38095238095238	0.0	11.970588235294118	331.3295428569607
01to26	0.0	0.0	0.0	0.0
01to27	22.142857142857142	0.0	2.7941176470588234	90.3987296016313
01to28	239.35714285714286	48.5	165.7058823529412	367.77881883257163
01to29	168.11904761904762	0.0	44.44117647058823	429.4318539527718
01to30	171.35714285714286	3.0	70.88235294117646	392.42223535548254
01to31	0.11904761904761904	0.0	0.0	0.632547345278267
01to32	591.2380952380952	73.0	307.11764705882354	1175.9548234545575
01to33	1.5238095238095237	0.0	0.0	9.412596892224634
01to34	2090.309523809524	1676.5	1912.8529411764705	1440.9781313500341
01to35	15.428571428571429	0.0	2.9705882352941178	45.7027206625403
01to36	441.3809523809524	41.5	289.4117647058824	690.4919403065753
01to37	571.2619047619048	27.0	326.05882352941177	1053.373467218624
01to38	3.2142857142857144	0.0	0.47058823529411764	11.667205894291527
01to39	182.83333333333334	103.5	142.58823529411765	227.98715375306293
01to40	0.023809523809523808	0.0	0.0	0.1543033499620919
01to41	2.119047619047619	0.0	0.0	7.818684253830164
01to42	994.0	214.0	632.2647058823529	1569.1844083207918
01to43	0.0	0.0	0.0	0.0
01to44	237.11904761904762	2.0	69.05882352941177	685.0885718910046
01to45	147.14285714285714	6.5	64.23529411764706	311.2522756448162
01to46	0.0	0.0	0.0	0.0
01to47	0.0	0.0	0.0	0.0
01to48	1050.5714285714287	267.5	497.5882352941176	2247.4852954602625
01to49	82.04761904761905	0.0	12.588235294117647	244.34870648326842
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	60.023809523809526	1.5	30.970588235294116	116.95245815313329
01to54	2.4047619047619047	0.0	0.0	10.638309795629269
01to55	0.0	0.0	0.0	0.0
01to56	0.023809523809523808	0.0	0.0	0.1543033499620919
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	2.6904761904761907	0.0	0.0	12.07393502901126
01to60	0.023809523809523808	0.0	0.0	0.1543033499620919
01to61	0.8809523809523809	0.0	0.0	3.902484392883783
01to62	0.0	0.0	0.0	0.0
01to63	0.11904761904761904	0.0	0.0	0.7715167498104596
01to64	2.357142857142857	0.0	0.0	15.118751768987572
01to65	0.14285714285714285	0.0	0.0	0.9258200997725514
01to66	0.0	0.0	0.0	0.0
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	1.7142857142857142	0.0	0.0	11.109841197270617
01to70	2.4047619047619047	0.0	0.0	12.573800721185076
01to71	4.928571428571429	0.0	0.0	23.874052510524084
01to72	0.0	0.0	0.0	0.0
01to73	4.238095238095238	0.0	0.029411764705882353	18.288753739841383
01to74	0.0	0.0	0.0	0.0
01to75	19.166666666666668	0.0	2.2058823529411766	59.93895946534789
01to76	0.2619047619047619	0.0	0.0	1.2308934650959016
01to77	18.095238095238095	0.0	0.3235294117647059	107.14289740610936
01to78	1.6666666666666667	0.0	0.08823529411764706	6.909402101366947
01to79	0.35714285714285715	0.0	0.0	1.6501504524374262
01to80	7.404761904761905	0.0	1.0	23.486435653330318
01to81	0.0	0.0	0.0	0.0
01to82	0.0	0.0	0.0	0.0
01to83	20.38095238095238	0.0	0.029411764705882353	100.69585996308386
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	53.23809523809524	6.0	35.35294117647059	85.49734256997287
02to06	0.047619047619047616	0.0	0.0	0.3086066999241838
02to07	65.69047619047619	5.5	30.294117647058822	146.23227232064883
02to08	0.6190476190476191	0.0	0.0	2.87929853375047
02to09	2.238095238095238	0.0	0.0	14.504514896436639
02to10	22.5	0.0	1.2941176470588236	75.37912307212092
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.0	0.0	0.0	0.0
02to14	0.0	0.0	0.0	0.0
02to15	0.23809523809523808	0.0	0.0	1.245666122309447
02to16	7.761904761904762	0.0	1.2941176470588236	22.88977780562119
02to17	1.9523809523809523	0.0	0.029411764705882353	7.03632519441644
02to18	115.30952380952381	0.0	20.029411764705884	357.54887014397224
02to19	27.761904761904763	0.0	0.14705882352941177	130.54833877632836
02to20	27.285714285714285	0.0	0.5294117647058824	152.88530464471273
02to21	28.61904761904762	0.0	6.029411764705882	82.73229008954782
02to22	51.095238095238095	0.0	9.147058823529411	144.2252319732813
02to23	127.52380952380952	0.0	32.61764705882353	340.9537725690039
02to24	25.0	0.0	3.0294117647058822	89.37997811481539
02to25	24.595238095238095	0.0	4.0588235294117645	77.5666698360457
02to26	0.047619047619047616	0.0	0.0	0.3086066999241838
02to27	2.0476190476190474	0.0	0.0	12.491855651080556
02to28	75.66666666666667	0.0	20.264705882352942	216.99327478245266
02to29	24.285714285714285	0.0	4.823529411764706	84.8517460947682
02to30	96.21428571428571	0.0	37.64705882352941	224.66468626456495
02to31	0.14285714285714285	0.0	0.0	0.7830966850386144
02to32	645.7380952380952	175.5	398.88235294117646	1090.5857021047486
02to33	0.09523809523809523	0.0	0.0	0.48436651157749006
02to34	2964.4285714285716	2691.0	2732.323529411765	2076.595926297406
02to35	197.78571428571428	0.0	65.32352941176471	491.5587717988605
02to36	326.1190476190476	0.0	70.73529411764706	1204.8569027953922
02to37	1771.7619047619048	685.5	1333.2058823529412	2416.985552592358
02to38	86.52380952380952	0.0	39.1764705882353	220.76852882990124
02to39	0.023809523809523808	0.0	0.0	0.1543033499620919
02to40	1.1904761904761905	0.0	0.0	7.405463030394603
02to41	0.07142857142857142	0.0	0.0	0.4629100498862757
02to42	6.690476190476191	0.0	0.0	43.359241339347825
02to43	0.0	0.0	0.0	0.0
02to44	0.0	0.0	0.0	0.0
02to45	0.023809523809523808	0.0	0.0	0.1543033499620919
02to46	0.0	0.0	0.0	0.0
02to47	0.0	0.0	0.0	0.0
02to48	1.6904761904761905	0.0	0.0	7.715957791859721
02to49	0.023809523809523808	0.0	0.0	0.1543033499620919
02to50	0.0	0.0	0.0	0.0
02to51	0.0	0.0	0.0	0.0
02to52	0.0	0.0	0.0	0.0
02to53	0.0	0.0	0.0	0.0
02to54	0.0	0.0	0.0	0.0
02to55	0.0	0.0	0.0	0.0
02to56	0.30952380952380953	0.0	0.0	2.0059435495071947
02to57	0.0	0.0	0.0	0.0
02to58	0.0	0.0	0.0	0.0
02to59	4.190476190476191	0.0	0.0	22.198921194660254
02to60	3.4523809523809526	0.0	0.0	22.373985744503326
02to61	5.428571428571429	0.0	0.0	34.399477347945954
02to62	0.047619047619047616	0.0	0.0	0.3086066999241838
02to63	0.023809523809523808	0.0	0.0	0.1543033499620919
02to64	0.38095238095238093	0.0	0.0	1.738409434952186
02to65	0.023809523809523808	0.0	0.0	0.1543033499620919
02to66	0.07142857142857142	0.0	0.0	0.4629100498862757
02to67	0.0	0.0	0.0	0.0
