//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1152.8666666666666	699.0	1054.8461538461538	1160.4500276473204
01to03	321.2	69.0	204.53846153846155	625.6601313812475
01to04	557.4	534.0	513.0769230769231	431.21933431342603
01to05	799.8666666666667	42.0	530.7692307692307	1493.1733640934315
01to06	0.0	0.0	0.0	0.0
01to07	2189.6666666666665	944.0	2070.0	2186.3591283444807
01to08	2.933333333333333	0.0	0.5384615384615384	9.59513765751522
01to09	0.0	0.0	0.0	0.0
01to10	66.4	0.0	9.23076923076923	226.09125843972197
01to11	0.0	0.0	0.0	0.0
01to12	438.2	263.0	283.15384615384613	720.8099809044188
01to13	0.0	0.0	0.0	0.0
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	3.466666666666667	0.0	0.6923076923076923	11.179488019625602
01to17	3.6666666666666665	0.0	0.07692307692307693	13.926678748085667
01to18	30.666666666666668	0.0	23.076923076923077	57.29705385927256
01to19	0.5333333333333333	0.0	0.23076923076923078	1.4573295865416045
01to20	0.6	0.0	0.07692307692307693	2.0632844828435215
01to21	40.333333333333336	0.0	0.38461538461538464	154.83247475286066
01to22	78.6	0.0	0.3076923076923077	303.31167374265607
01to23	44.266666666666666	0.0	10.692307692307692	135.20696657171112
01to24	0.0	0.0	0.0	0.0
01to25	20.666666666666668	0.0	11.692307692307692	53.56926979777367
01to26	0.0	0.0	0.0	0.0
01to27	42.2	0.0	5.0	145.82876455428323
01to28	193.33333333333334	113.0	162.07692307692307	246.4608536481045
01to29	127.53333333333333	3.0	33.53846153846154	377.0600305875268
01to30	190.0	19.0	71.23076923076923	496.6135318333563
01to31	0.0	0.0	0.0	0.0
01to32	571.4666666666667	64.0	376.0769230769231	1006.0792262659087
01to33	4.066666666666666	0.0	0.0	15.750132274576828
01to34	1826.6666666666667	1363.0	1709.1538461538462	1330.567959646592
01to35	3.2666666666666666	0.0	1.8461538461538463	8.622782668743366
01to36	284.8	117.0	253.0	326.07475041337204
01to37	410.1333333333333	70.0	280.46153846153845	734.4366029886608
01to38	0.6666666666666666	0.0	0.5384615384615384	1.1126972805283737
01to39	180.46666666666667	139.0	159.84615384615384	188.9451419504261
01to40	0.0	0.0	0.0	0.0
01to41	1.4666666666666666	0.0	0.0	5.680375574437544
01to42	947.6666666666666	430.0	605.1538461538462	1634.7337339617059
01to43	0.0	0.0	0.0	0.0
01to44	162.33333333333334	0.0	45.92307692307692	470.91926312368275
01to45	108.33333333333333	8.0	56.69230769230769	232.36998412834978
01to46	0.0	0.0	0.0	0.0
01to47	0.0	0.0	0.0	0.0
01to48	693.0	158.0	312.0	1624.4965813620977
01to49	54.8	0.0	2.230769230769231	204.33452963216962
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	53.6	22.0	39.46153846153846	80.29392433873366
01to54	0.2	0.0	0.0	0.7745966692414834
01to55	0.0	0.0	0.0	0.0
01to56	0.06666666666666667	0.0	0.0	0.2581988897471611
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	3.8666666666666667	0.0	0.0	14.975535605335345
01to60	0.06666666666666667	0.0	0.0	0.2581988897471611
01to61	1.0	0.0	0.15384615384615385	3.359421718944242
01to62	0.0	0.0	0.0	0.0
01to63	0.3333333333333333	0.0	0.0	1.2909944487358056
01to64	6.533333333333333	0.0	0.0	25.30349119522179
01to65	0.4	0.0	0.0	1.5491933384829668
01to66	0.0	0.0	0.0	0.0
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	4.8	0.0	0.0	18.5903200617956
01to70	6.733333333333333	0.0	1.6923076923076923	20.779339555937586
01to71	13.8	0.0	5.0	39.217707370887595
01to72	0.0	0.0	0.0	0.0
01to73	10.866666666666667	0.0	4.538461538461538	29.911456636132552
01to74	0.0	0.0	0.0	0.0
01to75	35.6	0.0	17.692307692307693	83.98452238359161
01to76	0.26666666666666666	0.0	0.0	1.0327955589886444
01to77	3.466666666666667	0.0	1.3846153846153846	8.951190397025947
01to78	2.466666666666667	0.0	0.15384615384615385	9.006875680490406
01to79	1.0	0.0	0.46153846153846156	2.699206232527312
01to80	14.066666666666666	0.0	6.230769230769231	35.613935207336766
01to81	0.0	0.0	0.0	0.0
01to82	0.0	0.0	0.0	0.0
01to83	0.3333333333333333	0.0	0.0	1.2909944487358056
02to03	0.0	0.0	0.0	0.0
