//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1322.872340425532	905.0	1130.4871794871794	1292.3094194203895
01to03	667.531914893617	106.0	473.35897435897436	1021.6916886066915
01to04	520.7234042553191	316.0	403.6923076923077	675.9028970047868
01to05	424.25531914893617	137.0	300.28205128205127	624.1514402382858
01to06	0.8297872340425532	0.0	0.0	4.873705620519735
01to07	2510.425531914894	1505.0	2060.3076923076924	2965.3212359502345
01to08	10.680851063829786	0.0	0.7948717948717948	52.62959424662414
01to09	0.5106382978723404	0.0	0.0	3.5007597959494694
01to10	18.23404255319149	0.0	1.0512820512820513	70.53590290426492
01to11	0.0	0.0	0.0	0.0
01to12	343.72340425531917	220.0	282.02564102564105	391.4166967916539
01to13	8.74468085106383	0.0	0.0	55.61102021108468
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	15.02127659574468	0.0	0.0	78.37992460409471
01to17	0.5106382978723404	0.0	0.0	2.348656789348661
01to18	11.106382978723405	0.0	0.9230769230769231	49.384575149733784
01to19	2.574468085106383	0.0	0.0	14.810021109181246
01to20	1.6170212765957446	0.0	0.0	7.933290318786157
01to21	3.0	0.0	0.0	15.324036248864779
01to22	8.638297872340425	0.0	0.46153846153846156	29.52480573283281
01to23	20.638297872340427	0.0	0.8205128205128205	83.77050054916211
01to24	3.4680851063829787	0.0	0.02564102564102564	20.289053660222354
01to25	78.91489361702128	0.0	7.846153846153846	313.6609793881753
01to26	0.02127659574468085	0.0	0.0	0.14586499149789456
01to27	6.9787234042553195	0.0	0.8205128205128205	25.43575826144908
01to28	235.40425531914894	22.0	152.94871794871796	388.7719047134735
01to29	111.55319148936171	0.0	19.102564102564102	359.10091887273853
01to30	96.95744680851064	0.0	30.41025641025641	260.6600282432546
01to31	0.14893617021276595	0.0	0.0	0.6586786312880119
01to32	528.0851063829788	76.0	295.5897435897436	1076.6624724378419
01to33	0.06382978723404255	0.0	0.0	0.4375949744936837
01to34	2052.446808510638	1673.0	1865.051282051282	1397.2208721556585
01to35	12.787234042553191	0.0	1.564102564102564	43.42706838217519
01to36	359.4468085106383	38.0	210.17948717948718	660.8971441553039
01to37	466.21276595744683	12.0	233.94871794871796	956.4788898820555
01to38	2.6595744680851063	0.0	0.15384615384615385	11.091078662688433
01to39	177.08510638297872	87.0	125.58974358974359	256.9520196953741
01to40	0.06382978723404255	0.0	0.0	0.3233153877609249
01to41	1.446808510638298	0.0	0.0	6.778509874206026
01to42	955.7872340425532	200.0	661.1282051282051	1484.1360381829854
01to43	0.06382978723404255	0.0	0.0	0.4375949744936837
01to44	285.06382978723406	4.0	117.05128205128206	707.3926529180277
01to45	147.27659574468086	4.0	75.58974358974359	304.58422852541133
01to46	0.7021276595744681	0.0	0.0	4.813544719430521
01to47	0.0	0.0	0.0	0.0
01to48	1071.1489361702127	262.0	624.0512820512821	2085.2973511116325
01to49	87.38297872340425	0.0	22.205128205128204	248.84459557614682
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	58.38297872340426	2.0	30.205128205128204	116.9560588596324
01to54	2.0851063829787235	0.0	0.0	10.07543242622336
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	1.425531914893617	0.0	0.0	8.029144415004799
01to60	0.0	0.0	0.0	0.0
01to61	0.574468085106383	0.0	0.0	3.275367094269002
01to62	0.02127659574468085	0.0	0.0	0.14586499149789456
01to63	0.0	0.0	0.0	0.0
01to64	0.02127659574468085	0.0	0.0	0.14586499149789456
01to65	0.0	0.0	0.0	0.0
01to66	0.8297872340425532	0.0	0.0	5.688734668417887
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	0.0	0.0	0.0	0.0
01to70	2.4893617021276597	0.0	0.0	16.917796573078498
01to71	0.0	0.0	0.0	0.0
01to72	0.0	0.0	0.0	0.0
01to73	0.3191489361702128	0.0	0.0	1.900873746221703
01to74	0.0	0.0	0.0	0.0
01to75	13.212765957446809	0.0	0.7692307692307693	53.44803903760897
01to76	0.14893617021276595	0.0	0.0	1.021054940485262
01to77	25.340425531914892	0.0	0.6153846153846154	110.21802042271464
01to78	5.404255319148936	0.0	0.1794871794871795	22.051973760096935
01to79	0.02127659574468085	0.0	0.0	0.14586499149789456
01to80	5.148936170212766	0.0	1.358974358974359	14.089741447629711
01to81	1.3617021276595744	0.0	0.0	9.335359455865252
01to82	0.0	0.0	0.0	0.0
01to83	27.680851063829788	0.0	0.1282051282051282	111.15228613170052
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	80.17021276595744	4.0	45.92307692307692	150.57517538179425
02to06	1.0425531914893618	0.0	0.0	5.128596073715159
02to07	54.51063829787234	2.0	23.384615384615383	136.24783561749993
02to08	0.7659574468085106	0.0	0.0	2.8757816779128813
02to09	2.0	0.0	0.0	13.711309200802088
02to10	9.74468085106383	0.0	0.8205128205128205	42.995180763867815
02to11	0.0	0.0	0.0	0.0
02to12	0.0	0.0	0.0	0.0
02to13	0.0	0.0	0.0	0.0
02to14	0.0	0.0	0.0	0.0
02to15	0.19148936170212766	0.0	0.0	1.1728504458636775
02to16	5.76595744680851	0.0	0.2564102564102564	21.447826246354246
02to17	0.44680851063829785	0.0	0.0	2.635943116743721
02to18	60.1063829787234	0.0	5.743589743589744	257.781103132648
02to19	8.106382978723405	0.0	0.02564102564102564	39.83620488000135
02to20	22.29787234042553	0.0	0.1794871794871795	144.3285676162459
02to21	15.48936170212766	0.0	1.3076923076923077	51.168890149669416
02to22	51.340425531914896	0.0	6.153846153846154	164.85847376986126
02to23	150.9787234042553	0.0	21.974358974358974	631.3114882446217
02to24	66.0	0.0	12.743589743589743	189.5714847388366
02to25	26.76595744680851	0.0	5.666666666666667	79.34328627414395
