//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1704.75	1340.5	1598.0625	1300.980799041125
01to03	599.25	314.0	452.9375	812.5030121401657
01to04	553.2	345.5	361.1875	927.4468405818542
01to05	382.1	106.5	256.5625	598.5051466163977
01to06	0.3	0.0	0.0	1.3416407864998738
01to07	2816.35	1707.0	2492.25	2684.193229278634
01to08	1.75	0.0	0.0	5.38882860037416
01to09	0.0	0.0	0.0	0.0
01to10	4.95	0.0	0.0	16.75669544108453
01to11	0.0	0.0	0.0	0.0
01to12	335.15	196.0	274.125	368.25352751374396
01to13	0.2	0.0	0.0	0.8944271909999159
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	0.1	0.0	0.0	0.4472135954999579
01to17	0.0	0.0	0.0	0.0
01to18	4.1	0.0	0.0	18.101759146848856
01to19	0.0	0.0	0.0	0.0
01to20	0.15	0.0	0.0	0.6708203932499369
01to21	5.8	0.0	0.0	22.85791352084253
01to22	13.1	0.0	0.125	40.86164074300647
01to23	26.55	0.0	0.625	112.67908552961137
01to24	0.45	0.0	0.0	2.0124611797498106
01to25	9.05	0.0	1.6875	24.70558215209033
01to26	0.05	0.0	0.0	0.22360679774997896
01to27	1.55	0.0	0.0	6.476475649773206
01to28	195.55	34.0	104.8125	344.2322464175665
01to29	4.75	0.0	1.125	11.97310582755764
01to30	10.5	0.0	3.125	25.36782047771297
01to31	0.1	0.0	0.0	0.4472135954999579
01to32	428.0	68.5	258.1875	741.8593993615317
01to33	0.0	0.0	0.0	0.0
01to34	1803.6	1628.0	1656.8125	1233.7569239394043
01to35	0.1	0.0	0.0	0.30779350562554625
01to36	131.4	33.5	80.4375	204.4549622262746
01to37	203.55	6.5	121.1875	351.3267297724891
01to38	0.0	0.0	0.0	0.0
01to39	167.55	87.0	101.3125	271.71821220173166
01to40	0.1	0.0	0.0	0.4472135954999579
01to41	0.05	0.0	0.0	0.22360679774997896
01to42	869.45	156.0	551.0	1406.1885953845144
01to43	0.15	0.0	0.0	0.6708203932499369
01to44	293.7	3.0	137.4375	607.3243389092676
01to45	118.35	4.0	59.6875	235.91351559863048
01to46	1.65	0.0	0.0	7.379024325749306
01to47	0.0	0.0	0.0	0.0
01to48	830.75	144.0	542.875	1274.1927423811683
01to49	74.15	0.0	3.1875	228.99006528668443
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	51.35	14.5	29.6875	91.17032931479638
01to54	0.0	0.0	0.0	0.0
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	0.6	0.0	0.0	2.6832815729997477
01to60	0.0	0.0	0.0	0.0
01to61	0.25	0.0	0.0	1.118033988749895
01to62	0.05	0.0	0.0	0.22360679774997896
01to63	0.0	0.0	0.0	0.0
