//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1319.0222222222221	916.0	1115.4054054054054	1296.4758436358593
01to03	524.3777777777777	54.0	338.27027027027026	936.2134636368725
01to04	447.6666666666667	339.0	398.72972972972974	359.9758198950187
01to05	441.06666666666666	137.0	314.02702702702703	630.9438960795168
01to06	0.8666666666666667	0.0	0.0	4.979959839195493
01to07	2472.2444444444445	1505.0	1989.5405405405406	3010.531394919837
01to08	11.155555555555555	0.0	0.8378378378378378	53.762083443274555
01to09	0.5333333333333333	0.0	0.0	3.5777087639996634
01to10	19.044444444444444	0.0	1.1081081081081081	72.01166431891293
01to11	0.0	0.0	0.0	0.0
01to12	346.35555555555555	210.0	281.8918918918919	405.1458859335596
01to13	9.133333333333333	0.0	0.0	56.828929892505215
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	15.733333333333333	0.0	0.05405405405405406	80.06627936222021
01to17	0.5333333333333333	0.0	0.0	2.3988633672106996
01to18	11.6	0.0	0.972972972972973	50.43645867461715
01to19	2.911111111111111	0.0	0.0	15.165484469410108
01to20	1.6888888888888889	0.0	0.0	8.103933450722394
01to21	3.1333333333333333	0.0	0.0	15.654798857625966
01to22	9.022222222222222	0.0	0.4864864864864865	30.12963573452141
01to23	21.555555555555557	0.0	0.8648648648648649	85.53509528405593
01to24	3.6222222222222222	0.0	0.02702702702702703	20.731277302324106
01to25	82.42222222222222	0.0	8.27027027027027	320.24915647386524
01to26	0.022222222222222223	0.0	0.0	0.14907119849998599
01to27	7.288888888888889	0.0	0.8648648648648649	25.962930061411353
01to28	247.55555555555554	36.0	163.27027027027026	393.4580118268112
01to29	116.73333333333333	0.0	20.405405405405407	366.2969734071969
01to30	101.35555555555555	0.0	32.16216216216216	265.64571036315164
01to31	0.15555555555555556	0.0	0.0	0.6726999721460174
01to32	552.9333333333333	106.0	313.2432432432432	1094.2177446592943
01to33	0.06666666666666667	0.0	0.0	0.4472135954999579
01to34	2078.9333333333334	1701.0	1882.4324324324325	1421.2029219835376
01to35	13.355555555555556	0.0	1.6486486486486487	44.31558086125812
01to36	410.5111111111111	40.0	256.9189189189189	696.7038180611687
01to37	512.4222222222222	32.0	277.5945945945946	970.6544064535414
01to38	2.7777777777777777	0.0	0.16216216216216217	11.325532074374111
01to39	174.33333333333334	54.0	119.45945945945945	264.12935880325415
01to40	0.06666666666666667	0.0	0.0	0.3302891295379082
01to41	1.511111111111111	0.0	0.0	6.9236820938987185
01to42	971.4888888888889	142.0	664.2972972972973	1515.72109485015
01to43	0.06666666666666667	0.0	0.0	0.4472135954999579
01to44	293.8	4.0	118.5945945945946	719.333138146967
01to45	150.17777777777778	4.0	75.24324324324324	310.6579739322279
01to46	0.7333333333333333	0.0	0.0	4.919349550499537
01to47	0.0	0.0	0.0	0.0
01to48	1110.7111111111112	443.0	648.0	2121.129669241693
01to49	91.2	0.0	23.324324324324323	253.7459001012269
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	55.888888888888886	2.0	25.64864864864865	116.64869991525492
01to54	2.1777777777777776	0.0	0.0	10.291852225047842
01to55	0.0	0.0	0.0	0.0
01to56	0.022222222222222223	0.0	0.0	0.14907119849998599
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
01to59	1.6222222222222222	0.0	0.0	8.227694056960887
01to60	0.0	0.0	0.0	0.0
01to61	0.6222222222222222	0.0	0.0	3.3458854575357915
01to62	0.022222222222222223	0.0	0.0	0.14907119849998599
01to63	0.0	0.0	0.0	0.0
01to64	0.022222222222222223	0.0	0.0	0.14907119849998599
01to65	0.0	0.0	0.0	0.0
01to66	0.9777777777777777	0.0	0.0	5.844534699921446
01to67	0.0	0.0	0.0	0.0
01to68	0.0	0.0	0.0	0.0
01to69	0.0	0.0	0.0	0.0
01to70	2.688888888888889	0.0	0.0	17.286124522578824
01to71	0.0	0.0	0.0	0.0
01to72	0.0	0.0	0.0	0.0
01to73	0.3333333333333333	0.0	0.0	1.9423509653837725
01to74	0.0	0.0	0.0	0.0
01to75	13.8	0.0	0.8108108108108109	54.57338678746762
01to76	0.2	0.0	0.0	1.0787197799411874
01to77	26.466666666666665	0.0	0.6486486486486487	112.55980228709133
01to78	5.844444444444444	0.0	0.43243243243243246	22.52368001939651
01to79	0.022222222222222223	0.0	0.0	0.14907119849998599
01to80	5.377777777777778	0.0	1.4324324324324325	14.36265499780102
01to81	1.4222222222222223	0.0	0.0	9.540556703999103
01to82	0.0	0.0	0.0	0.0
01to83	28.933333333333334	0.0	0.16216216216216217	113.48456042363408
02to03	0.0	0.0	0.0	0.0
02to04	0.0	0.0	0.0	0.0
02to05	68.2	4.0	36.945945945945944	130.85012245104912
02to06	1.0888888888888888	0.0	0.0	5.238937358516958
02to07	57.044444444444444	2.0	24.783783783783782	138.9335936134362
02to08	0.8	0.0	0.0	2.935673997258861
02to09	2.088888888888889	0.0	0.0	14.012692658998683
02to10	10.177777777777777	0.0	0.8648648648648649	43.91018151185486
