//pathway	mean_value	median_value	trimedmean_value	sd_value
01to02	1327.3958333333333	910.5	1140.725	1278.8715893747617
01to03	704.6666666666666	150.5	507.625	1042.9936523609567
01to04	510.125	316.0	395.1	672.6933044968514
01to05	430.8958333333333	145.0	311.35	619.1873960858951
01to06	0.8125	0.0	0.0	4.8230662534435895
01to07	2565.6666666666665	1508.5	2137.85	2958.4655045891564
01to08	10.458333333333334	0.0	0.775	52.089513108556936
01to09	0.5	0.0	0.0	3.4641016151377544
01to10	17.854166666666668	0.0	1.025	69.83110005907821
01to11	0.0	0.0	0.0	0.0
01to12	337.3958333333333	215.0	275.975	389.7039104943777
01to13	8.5625	0.0	0.0	55.03070951170539
01to14	0.0	0.0	0.0	0.0
01to15	0.0	0.0	0.0	0.0
01to16	14.708333333333334	0.0	0.0	77.57191812936885
01to17	0.5	0.0	0.0	2.324705426317265
01to18	10.875	0.0	0.9	48.882675432578445
01to19	2.5208333333333335	0.0	0.0	14.656331989139934
01to20	1.5833333333333333	0.0	0.0	7.851909466461234
01to21	2.9375	0.0	0.0	15.166320820622335
01to22	8.458333333333334	0.0	0.45	29.235622640978143
01to23	20.208333333333332	0.0	0.8	82.9280534966159
01to24	3.3958333333333335	0.0	0.025	20.078293119932507
01to25	77.27083333333333	0.0	7.65	310.51520260061227
01to26	0.020833333333333332	0.0	0.0	0.14433756729740643
01to27	6.833333333333333	0.0	0.8	25.183862895803138
01to28	230.5	19.0	149.125	386.11171352232884
01to29	109.22916666666667	0.0	18.625	355.624846533016
01to30	94.9375	0.0	29.65	258.2516014038627
01to31	0.14583333333333334	0.0	0.0	0.6519882303249572
01to32	517.0833333333334	73.5	288.2	1067.870815227284
01to33	0.0625	0.0	0.0	0.4330127018922193
01to34	2015.0	1645.0	1828.05	1406.4131985680392
01to35	12.520833333333334	0.0	1.525	43.00222140889109
01to36	351.9583333333333	33.5	204.925	655.8837130432962
01to37	456.5	11.5	228.1	948.63857655915
01to38	2.6041666666666665	0.0	0.15	10.979167087219231
01to39	173.39583333333334	85.0	122.45	255.48558185436022
01to40	0.0625	0.0	0.0	0.3199900264403199
01to41	1.4166666666666667	0.0	0.0	6.709261091742005
01to42	935.875	194.5	644.6	1474.7293098172433
01to43	0.0625	0.0	0.0	0.4330127018922193
01to44	279.125	3.5	114.125	701.0352413213391
01to45	144.20833333333334	4.0	73.7	302.0754420588265
01to46	0.6875	0.0	0.0	4.763139720814412
01to47	0.0	0.0	0.0	0.0
01to48	1048.8333333333333	252.5	608.45	2068.7793125347207
01to49	85.5625	0.0	21.65	246.50595834583797
01to50	0.0	0.0	0.0	0.0
01to51	0.0	0.0	0.0	0.0
01to52	0.0	0.0	0.0	0.0
01to53	57.166666666666664	2.0	29.45	116.0116159505633
01to54	2.0416666666666665	0.0	0.0	9.972213167647036
01to55	0.0	0.0	0.0	0.0
01to56	0.0	0.0	0.0	0.0
01to57	0.0	0.0	0.0	0.0
01to58	0.0	0.0	0.0	0.0
