No Id LongId X Y Z AreaNameJp Memo
1 R.LOFR ctx-rh-lateralorbitofrontal 26.76 32.66 -12.88 右外側眼窩前頭皮質 -
2 R.PORB ctx-rh-parsorbitalis 45.46 36.29 -10.44 右眼窩部 -
3 R.FRTP ctx-rh-frontalpole 14.11 60.27 -12.49 右前頭極 大脳の一番前方の部分
4 R.MOFR ctx-rh-medialorbitofrontal 10.32 41.87 -12.61 右中眼窩前頭皮質 -
5 R.PTRI ctx-rh-parstriangularis 46.35 33.36 4.39 右三角部 前頭葉の左下前頭回にあるブローカ野の一部でブロードマンの脳地図の45野
6 R.POPE ctx-rh-parsopercularis 47.95 14.60 13.80 右弁蓋部 味覚に関与
7 R.RMFR ctx-rh-rostralmiddlefrontal 34.98 42.64 16.63 右吻側中前頭回 -
8 R.SFRT ctx-rh-superiorfrontal 16.85 25.18 42.49 右上前頭回 -
9 R.CMFR ctx-rh-caudalmiddlefrontal 39.99 7.29 47.68 右尾側中前頭回 -
10 R.PREC ctx-rh-precentral 39.91 -11.66 47.82 右中心前回 体性運動
11 R.PARC ctx-rh-paracentral 11.31 -31.56 59.81 右中心傍小葉 下腿部と足の運動を司る
12 R.RCIN ctx-rh-rostralanteriorcingulate 10.2 40.36 4.09 右吻側前帯状回 -
13 R.CCIN ctx-rh-caudalanteriorcingulate 9.58 14.58 28.80 右尾側前帯状回 -
14 R.PCIN ctx-rh-posteriorcingulate 9.61 -21.42 39.98 右帯状回後部 -
15 R.ICIN ctx-rh-isthmuscingulate 10.14 -45.29 21.70 右帯状回峡 -
16 R.PSTC ctx-rh-postcentral 44.75 -25.37 49.15 右中心後回 体性感覚野
17 R.SMAR ctx-rh-supramarginal 51.68 -37.02 38.04 右縁上回 -
18 R.SPAR ctx-rh-superiorparietal 21.95 -65.86 50.08 右上頭頂葉 -
19 R.IPAR ctx-rh-inferiorparietal 42.27 -67.11 30.38 右下頭頂葉 -
20 R.PCUN ctx-rh-precuneus 11.06 -58.35 41.54 右楔前部 -
21 R.CUNE ctx-rh-cuneus 7.49 -80.82 22.13 右楔状葉 -
22 R.PCAL ctx-rh-pericalcarine 12.19 -81.97 10.37 右鳥距溝周囲 視覚連合野
23 R.LOCC ctx-rh-lateraloccipital 30.66 -88.75 -0.05 右後頭極 和名正しい？ 
24 R.LING ctx-rh-lingual 13.30 -68.60 0.88 右舌状回 後頭葉内側面で鳥距溝の下面に存在
25 R.FUSI ctx-rh-fusiform 33.68 -47.45 -16.25 右紡錘状回 側頭葉の一部。後頭側頭回とも呼ばれる。
26 R.PHIP ctx-rh-parahippocampal 27.61 -32.33 -14.71 右海馬傍回 -
27 R.ENTO ctx-rh-entorhinal 25.02 -6.43 -30.61 右嗅内野 連合野と海馬体との情報連絡を仲介
28 R.TMPP ctx-rh-temporalpole 36.73 10.12 -34.77 右側頭極 側頭葉の前端
29 R.ITMP ctx-rh-inferiortemporal 50.66 -32.22 -22.62 右下側頭回 -
30 R.MTMP ctx-rh-middletemporal 56.29 -25.56 -12.02 右中側頭回 -
31 R.BSTS ctx-rh-bankssts 50.30 -44.37 11.71 右上側頭溝壁 和名正しい？banks-of-the-superior-temporal-sulcus
32 R.STMP ctx-rh-superiortemporal 54.57 -14.21 -3.53 右上側頭回 -
33 R.TTMP ctx-rh-transversetemporal 47.34 -22.37 9.44 右横側頭回 聴覚中枢
34 R.INSU ctx-rh-insula 37.28 -3.14 2.58 右島 -
35 R.THAL Right-Thalamus-Proper 12.38 -18.04 8.04 右視床 -
36 R.CAUD Right-Caudate 16.32 8.63 10.71 右尾状核 -
37 R.PUTA Right-Putamen 28.05 0.14 -0.23 右被殻 -
38 R.PALL Right-Pallidum 21.69 -4.00 -1.68 右淡蒼球 -
39 R.ACMB Right-Accumbens-area 10.62 11.13 -7.53 右側坐核 新皮質-線条体-淡蒼球という経路と並行の回路を形成
40 R.HIPP Right-Hippocampus 25.66 -22.55 -11.85 右海馬 -
41 R.AMYG Right-Amygdala 25.56 -4.28 -19.74 右扁桃体 -
42 L.LOFR ctx-lh-lateralorbitofrontal -21.81 34.18 -13.40 左外側眼窩前頭皮質 -
43 L.PORB ctx-lh-parsorbitalis -40.58 37.38 -8.54 左眼窩部 -
44 L.FRTP ctx-lh-frontalpole -8.55 61.09 -4.09 左前頭極 大脳の一番前方の部分
