ID	R_LOFC	R_OIFG	R_MOFC	R_PTRI	R_POPE	R_RMFG	R_SFG	R_CMFG	R_PREC	R_PRCL	R_RCIN	R_CCIN	R_PCIN	R_ICIN	R_PSTCG	R_SPMG	R_SPL	R_IPL	R_PCUN	R_CUNE	R_CALS	R_LOS	R_LING	R_FUSI	R_PHIP	R_ENTO	R_ITG	R_MTG	R_STG	R_TTG	R_INSU	R_THAL	R_CAUD	R_PUTA	R_PALL	R_ACMB	R_HIPP	R_AMYG	L_LOFC	L_OIFG	L_MOFC	L_PTRI	L_POPE	L_RMFG	L_SFG	L_CMFG	L_PREC	L_PRCL	L_RCIN	L_CCIN	L_PCIN	L_ICIN	L_PSTCG	L_SPMG	L_SPL	L_IPL	L_PCUN	L_CUNE	L_CALS	L_LOS	L_LING	L_FUSI	L_PHIP	L_ENTO	L_ITG	L_MTG	L_STG	L_TTG	L_INSU	L_THAL	L_CAUD	L_PUTA	L_PALL	L_ACMB	L_HIPP	L_AMYG	BSTM	eTIV
c01	9766.0	2505.0	4220.0	3945.0	4812.0	14348.0	25804.0	7408.0	13480.0	3521.0	2782.0	2997.0	3338.0	2889.0	9969.0	8874.0	12286.0	16284.0	10967.0	4627.0	1902.0	13799.0	5078.0	8597.0	1629.0	2106.0	14272.0	15908.0	17441.0	1011.0	6421.0	7359.2	3569.7	4759.4	2134.6	374.5	3901.1	1695.1	9961.0	2011.0	4501.0	4320.0	4353.0	11484.0	23552.0	9086.0	14878.0	4318.0	3869.0	3538.0	4030.0	2856.0	11861.0	10113.0	10992.0	14360.0	9937.0	4309.0	1973.0	12808.0	6251.0	8722.0	1889.0	1918.0	13296.0	14296.0	18018.0	1378.0	6276.0	8304.9	3603.7	5104.3	2325.0	206.2	3735.4	1453.7	19698.1	1795459.155844
c02	9285.0	1979.0	4265.0	3966.0	5240.0	12039.0	26583.0	6602.0	12437.0	4439.0	2325.0	2368.0	3200.0	2609.0	11041.0	11115.0	12628.0	17051.0	11599.0	4592.0	2059.0	13603.0	5718.0	10067.0	1686.0	999.0	12465.0	14887.0	18580.0	1296.0	7054.0	7185.4	3637.9	4903.1	1798.7	410.5	3978.8	1775.2	10113.0	2355.0	4552.0	4582.0	4769.0	11764.0	23406.0	5928.0	13230.0	4663.0	3350.0	3419.0	3498.0	2041.0	12478.0	12313.0	11595.0	13779.0	9166.0	4432.0	1945.0	14932.0	5533.0	9102.0	1802.0	1787.0	11764.0	16272.0	20007.0	1341.0	6200.0	7311.1	3589.6	5248.4	2051.3	316.8	4019.4	1608.9	19085.1	1629564.564541
c03	9919.0	2397.0	4609.0	5371.0	4199.0	12756.0	29110.0	6399.0	13275.0	3658.0	2229.0	2358.0	3666.0	2589.0	9523.0	10584.0	10548.0	17609.0	10556.0	3284.0	1658.0	11639.0	6140.0	8002.0	1879.0	1683.0	13077.0	14838.0	17754.0	1204.0	6794.0	7678.2	2981.5	4492.6	2037.1	447.7	4319.3	1715.6	9900.0	2219.0	5347.0	5026.0	3957.0	11475.0	26702.0	7631.0	13618.0	4167.0	4202.0	3658.0	3518.0	2786.0	10866.0	10583.0	11729.0	15920.0	9456.0	3096.0	1508.0	12879.0	5484.0	7145.0	2568.0	2165.0	14274.0	15539.0	17205.0	1196.0	6563.0	8104.8	3190.3	5301.0	1990.7	384.2	4396.8	1570.4	21262.0	1622867.820297
c04	8285.0	2227.0	4247.0	2814.0	3480.0	10625.0	21527.0	5909.0	11991.0	3187.0	1530.0	1909.0	2667.0	2243.0	8941.0	8055.0	10234.0	13072.0	8776.0	4050.0	1826.0	8309.0	6007.0	7789.0	1709.0	1596.0	9234.0	10795.0	14502.0	1137.0	5435.0	6269.9	2400.0	4164.2	1731.0	333.3	3823.9	1262.0	8519.0	1904.0	3908.0	3305.0	3456.0	10638.0	20246.0	5971.0	11955.0	3208.0	2703.0	2314.0	2702.0	2000.0	9320.0	7393.0	8891.0	10262.0	7470.0	3481.0	1942.0	9460.0	5359.0	7660.0	1774.0	1762.0	10533.0	12162.0	15982.0	1206.0	5785.0	6583.2	2860.4	4057.3	1856.2	258.3	3840.8	1413.6	19185.6	1396819.192875
c05	9422.0	3121.0	5497.0	4340.0	4877.0	11367.0	31346.0	6018.0	13896.0	4257.0	2794.0	2736.0	3999.0	2658.0	11503.0	9993.0	12343.0	18517.0	10013.0	5401.0	2809.0	14273.0	6703.0	8462.0	2137.0	1584.0	11325.0	14393.0	19372.0	1071.0	7393.0	7679.2	3936.2	4930.0	2256.5	450.3	3953.5	1594.6	9960.0	2173.0	5080.0	5660.0	4926.0	12241.0	27919.0	7157.0	14383.0	3918.0	3909.0	2994.0	3600.0	2767.0	12215.0	10618.0	11667.0	16240.0	10492.0	5413.0	2456.0	13716.0	6026.0	8739.0	2022.0	1684.0	11826.0	15686.0	17783.0	1382.0	7185.0	8642.0	3928.7	4442.7	2081.4	328.2	3436.2	1369.6	21311.8	1605697.143542
c06	7434.0	2015.0	3692.0	2412.0	3657.0	9389.0	23552.0	5596.0	10147.0	4017.0	1288.0	1553.0	3346.0	2248.0	8897.0	7669.0	9315.0	14116.0	9198.0	3688.0	1759.0	10408.0	6036.0	7184.0	1459.0	1221.0	8599.0	10915.0	13429.0	892.0	5942.0	6687.9	2514.3	3453.5	1616.8	357.6	3124.1	1438.9	7010.0	1693.0	3503.0	3275.0	3400.0	8674.0	21513.0	6427.0	11579.0	3764.0	2559.0	2270.0	3034.0	2064.0	10668.0	8074.0	8457.0	11260.0	8406.0	3667.0	1464.0	9863.0	5764.0	7989.0	1712.0	1379.0	8541.0	10147.0	16607.0	1299.0	5404.0	6618.0	2552.5	3470.9	1713.1	187.8	3192.5	1370.4	19518.7	1371053.358191
c07	4536.0	1006.0	1998.0	1792.0	2045.0	7313.0	16330.0	5658.0	9280.0	1871.0	1130.0	1020.0	1450.0	889.0	9040.0	5813.0	9430.0	6732.0	3574.0	2059.0	934.0	4899.0	2491.0	2755.0	1184.0	1313.0	6723.0	3665.0	6291.0	335.0	1884.0	6588.8	2666.8	4562.4	1970.0	403.6	3844.7	1429.4	4755.0	769.0	2406.0	2409.0	2000.0	9264.0	15430.0	4928.0	8915.0	2546.0	1248.0	1802.0	1231.0	573.0	8232.0	3058.0	8133.0	8748.0	4056.0	1600.0	1092.0	8019.0	1795.0	4045.0	641.0	1359.0	5807.0	4251.0	5338.0	350.0	1188.0	7174.4	2755.4	4252.4	2073.5	292.8	3793.5	1353.0	20488.2	1477013.912908
c08	8127.0	2239.0	4107.0	3439.0	4889.0	10879.0	25743.0	7733.0	13175.0	3295.0	2472.0	2205.0	3261.0	2674.0	11218.0	9428.0	10085.0	14829.0	9575.0	4703.0	2626.0	11636.0	7767.0	9203.0	2030.0	1566.0	11657.0	12557.0	13698.0	1043.0	6184.0	8234.4	3253.2	4901.9	1997.3	457.8	4144.2	1319.4	9044.0	1958.0	5063.0	4843.0	4282.0	10131.0	23822.0	7477.0	14671.0	3566.0	3208.0	3150.0	4087.0	2576.0	11073.0	10478.0	9985.0	12211.0	8783.0	4535.0	2364.0	11591.0	6378.0	7734.0	2258.0	2738.0	12017.0	11659.0	17460.0	1190.0	5783.0	8499.3	3493.5	4773.1	2202.1	264.9	3837.0	1292.5	17913.5	1573973.316107
c10	8203.0	2553.0	3358.0	4497.0	4209.0	12159.0	23540.0	5619.0	11249.0	3709.0	1693.0	1106.0	2992.0	3494.0	9206.0	8955.0	10439.0	12424.0	10033.0	4139.0	3141.0	11470.0	7117.0	10252.0	3154.0	4146.0	10621.0	10739.0	14778.0	520.0	5845.0	6452.0	3077.6	4110.2	1918.3	334.4	3702.9	1487.7	9869.0	2069.0	5321.0	4294.0	4177.0	11710.0	21639.0	4764.0	10215.0	4233.0	4181.0	4174.0	2984.0	1755.0	10672.0	8314.0	9483.0	13961.0	8863.0	3960.0	1497.0	17316.0	4273.0	7196.0	964.0	990.0	11762.0	14140.0	17698.0	1447.0	5693.0	7629.9	3217.9	4109.6	2189.4	216.1	3375.2	1179.9	22036.4	1577229.228131
c11	9346.0	2299.0	5113.0	5905.0	6019.0	13956.0	32184.0	7362.0	13795.0	4730.0	2907.0	2962.0	4164.0	2338.0	11206.0	9993.0	10195.0	16222.0	10271.0	4974.0	2450.0	13582.0	9453.0	9491.0	2151.0	1548.0	11434.0	16156.0	18678.0	1113.0	7611.0	8800.2	3462.7	4544.4	2722.2	460.3	3721.0	1519.3	9218.0	2170.0	5273.0	7550.0	6150.0	15204.0	26889.0	7354.0	14202.0	4828.0	4556.0	3535.0	3913.0	2428.0	12639.0	11977.0	11356.0	13331.0	10869.0	5280.0	2469.0	12566.0	7764.0	9017.0	2138.0	1814.0	12306.0	15712.0	19866.0	1187.0	7099.0	8812.5	3305.5	4933.6	2595.7	302.7	3596.4	1316.5	24303.8	1789121.801558
